ts,x,y,z
2025-09-15 18:03:18.280410,-0.32811529493745045,0.9485114280242486,0.5999661694690236
2025-09-15 18:03:18.785449,-7.64253880344339e-15,1.0694488320737219,0.5455784560954086
2025-09-15 18:03:19.293857,0.3281152949374504,1.1525004780811547,0.38734212316650646
2025-09-15 18:03:19.798887,0.37512255020446006,1.1947242200819546,0.15537680710596039
2025-09-15 18:03:20.303622,0.6781152949374478,1.1946242609654047,-0.10616384637597083
2025-09-15 18:03:20.808679,0.819623738265369,1.1522041418330433,-0.3474966474956109
2025-09-15 18:03:21.312905,0.7000000000000001,1.0689666165533702,-0.5226848882145934
2025-09-15 18:03:21.817949,0.8196237382653656,0.9478604159568778,-0.5983822060478607
2025-09-15 18:03:22.322665,0.6781152949374549,0.7931757875762906,-0.5601799272782101
2025-09-15 18:03:22.827709,0.3751225502044609,0.6103925114888752,-0.4153496988516862
2025-09-15 18:03:23.330691,0.32811529493746094,0.4059857763752903,-0.1914593602310322
2025-09-15 18:03:23.835735,1.2444763605756144e-14,0.18719679273238937,0.06887448168195275
2025-09-15 18:03:24.340790,-0.32811529493745073,-0.038223730618636646,0.3160983487318287
2025-09-15 18:03:24.843361,-0.3751225502044611,-0.2622901592563302,0.5031541926628419
2025-09-15 18:03:25.343798,-0.6781152949374532,-0.47706482823955265,0.5944367014342518
2025-09-15 18:03:25.848844,-0.819623738265376,-0.6749392378452379,0.5725706242099158
2025-09-15 18:03:26.353903,-0.7000000000000001,-0.848903588464271,0.44171807903071375
2025-09-15 18:03:26.858954,-0.8196237382653713,-0.9927951062473424,0.22678631073071748
2025-09-15 18:03:27.364004,-0.6781152949374565,-1.1015163624409248,-0.0313133008744767
2025-09-15 18:03:27.865596,-0.3751225502044655,-1.1712158523421783,-0.28345255419718646
2025-09-15 18:03:28.370651,-0.32811529493745384,-1.1994244367731894,-0.48163777738194463
2025-09-15 18:03:28.875202,-5.878304635907296e-15,-1.1851428125673051,-0.5881452267323807
2025-09-15 18:03:29.380043,0.3281152949374511,-1.12887691338202,-0.582701646470496
2025-09-15 18:03:29.880654,0.3751225502044621,-1.032619986746917,-0.46634319975361316
2025-09-15 18:03:30.385699,0.6781152949374475,-0.8997819822762332,-0.26121823927077437
2025-09-15 18:03:30.890747,0.8196237382653737,-0.7350687525037392,-0.006371459225847511
2025-09-15 18:03:31.394228,0.7000000000000001,-0.5443153457106957,0.24968810192829693
2025-09-15 18:03:31.897355,0.8196237382653735,-0.3342792964314587,0.45822055783308074
2025-09-15 18:03:32.401712,0.678115294937462,-0.11240123642365223,0.5795326115185887
2025-09-15 18:03:32.903405,0.37512255020446444,0.11345869342126948,0.5905330115435211
2025-09-15 18:03:33.408459,0.3281152949374535,0.3352992924877399,0.4891278769190166
2025-09-15 18:03:33.913163,-6.881543339415535e-16,0.5452617469568515,0.294619258759676
2025-09-15 18:03:34.417637,-0.32811529493745817,0.735908032203795,0.044031074087467155
2025-09-15 18:03:34.920050,-0.3751225502044574,0.9004844085283921,-0.21493824479272405
2025-09-15 18:03:35.424244,-0.6781152949374462,1.0331606757510183,-0.43299495108352065
2025-09-15 18:03:35.929299,-0.819623738265368,1.1292367109605308,-0.5686328458504029
2025-09-15 18:03:36.434348,-0.7000000000000001,1.1853089727116326,-0.5960338126088511
2025-09-15 18:03:36.939398,-0.8196237382653666,1.1993910731773831,-0.5099821898155015
